category,sub-category,crimeaditionalinfo
Online Financial Fraud,UPI Related Frauds,I wanted to sell my cot on Quikr This person named Ankit Sharma Shop was Interested I am new to Googlepay Voucher payment and he sent me a voucher to pay the amount to my account but the transaction was reverse and he got paid the amount
Online Financial Fraud,UPI Related Frauds,R sir someone call me from  and said that he is my known JAGDISH  and he said some money on my mobile googlepay after that he said a link on my googlpay on rupees  then i click on this link the money is deducted form my account so please solve the same asap
Online Financial Fraud,EWallet Related Fraud,I lost amount of  lakh  hazaar rupees
Online Financial Fraud,Internet Banking Related Fraud,i received are message from cell no  that my SBI YONO Account has been suspended and to update your PAN card immediately and given a link httspsbipanuponlinepreviewdomaincom at hours according the the link i activate and at result an amount of Rs taken my account pls take necessary action and get my money 
Cyber Attack/ Dependent Crimes,Data Breach/Theft,"The issue actually started when I got this email, which at first glance seemed like spam. I usually ignore such things, but for some reason, I opened it this time. Afterward, my phone started freezing, and it wasn’t normal. I thought it was a technical glitch, but now I’m not so sure. Honestly, it’s such a mess, and I don’t even know where to start. I’ve contacted support, but they keep giving me the runaround. The more I tried to fix it, the more problems came up. My bank account was notifiction, and then I got locked out of everything. The worst part is, I don’t even know who to trust anymore. Friends, family, everyone’s acting strange. It’s affecting my relationships and my mental health. Even my laptop isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
Online Financial Fraud,Fraud CallVishing,"Regarding job vacancies they call me and ask the money for processing fees including this I share the details of the person whos contact me 
 Amen verma   
 Nithin   
 Sachin   "
Online Gambling  Betting,Online Gambling  Betting,"Respected Cyber crime Ghatkopar east Mumbai


This is Irshad Gafur Shaikh I reside in Ghatkopar east with my family and i am responsible citizen of India and my family


I would like to highlight you about two fruadulant loan app which are quitely robbing to innocent and family responsible people like me


 Koko loan

I was looking for k then filling my personal details it showed k then i clicked to check tenurity and roi

It directly selected as applied itself and credited into my account of Rs  and repayment amount is showing as k with  days tenurity

Screen shots shared for your reference

 AG Loan

I was looking for k loan as per the app given limit for  days tenurity and i applied for the same then next it credited rs  into my bank account as showing repayment of k with  days tenurity

Screen shots and recording shared for your reference

None of the above have mentioned contact center or points

I tried to contact them also however its all scam


I heartly request you to help me out from the same

I am from middle class and i already having many family responaiblity

I am ready for the same credited amount only but they are not acknowledging that"
Online and Social Media Related Crime,Cheating by Impersonation,                                                                                                                                                                      
Cyber Attack/ Dependent Crimes,Denial of Service (DoS)/Distributed Denial of Service (DDOS) attacks,"I never imagined something like this could happen to me, especially since I'm so cautious. But then I started noticing that my online activity felt different, slower even. I can't even describe it well because everything seemed normal, except for the fact that I was constantly getting logged out of my accounts. I don't know how, but it’s like they knew everything I was doing, even though I was trying to be careful. It’s terrifying to think about. The more I tried to fix it, the more problems came up. My email was hackd, and then I got locked out of everything. I don’t think I’ve ever felt this violated before. My privacy is completely shattered, and I can’t do anything to make it stop. Even my laptop isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,Internet Banking Related Fraud,Online job fraud victim received a link related to online job goes to payment page for processing fee otp entered amount lost cheated Suspect no httpsquikrjobssite
Online and Social Media Related Crime,FakeImpersonating Profile,Stop that like fruod for any body do not sher your otp and other ccvcard numberwith other do not resive new number callcastomer family member ferinds with any person do not sher otip and cvv number do not follow any instructions  for calls massages  linkes or other related questions inform the public about  no cheating
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud, RUPAY KA RECHAREGE PHONE PE SE KARNE KE  UPRANT THODI DER BAD ACCOUNT SE PASE KAT CHUKE THE MESSAGE DWARA PATA CHALA   KAT GYE THE  SE  FEB  BANK BAND HONE SE KO SUCHIT NAHI KARA PYE  FEB KO BANK KO APPLICATION DWARA SUCHIT KIYA   TO YE PASE KAT KARKE GALTI SE NIKALE GAYE HAI KRIPYA ISKI SAHI JACH KAR ACCOUNT ME PASE LAUTANE KI KRIPA KARE
Online Financial Fraud,EWallet Related Fraud,Hello please help me and more like me who are suffering financial frauds from these kind of applications I only downloaded the app without my consent they gave me loan of  and credited amount  in my account for only  days they are asking for payment of  and even now i had done my payment still no update is done in application still showing for payment and the customer who was earlier taalking to me on whatsapp now has switched off  her phone and they have accessed all my contacts and are threatning me to call them I am too much frustated please help this is the last hope from you all and i tried everywhere but i didnt get any response from any source since the payment is not showing in qpplicatun they will ask for bounce charge and threaten me to callplease look into the matter not only me is trapped in this there could be number of poor persons like me So at last please help
Cryptocurrency Crime,Cryptocurrency Fraud,"Sir

I have invested around  lakh in these app from  they are very smart and initially keep their payment system clean with no doubt and from  they creating problem in payments Please help"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,This is an unauthorized transaction from an international website Vimeocom I did not receive any prior intimation or authorization mail or notification for the transaction I have blocked the card and raised a complaint with the bank authorities as well Please help
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,A call from    this number was received by me  saying that speaking from indusind bank helping me to make credit card  I received a call at  pm first a lady was speaking then the call was transferred by them to another person  the were having a fake url website made by them only  They make me to open the site and told me to fill the details  i did so  they said that a  rupees otp will come to me as a charges of card  they said a virtual card will be generated of  rupees but the virtual card was not generated they asked me to fill the card number again then  the amount was deducted from my card of  approximately
Online Financial Fraud,Fraud CallVishing,we received call from salomi saying she is custom officer in mumbai one more person is also invoved joshil patel from usa  he was also involved in this they both have created scam for me and looted from me  as an custom duty joshil patel introduced me as my old friend from school he said i will send you some small gift as a friendship we thought its the same parcel but the are now creating story and nobody is giving us details of the parcel its a complete fraud please helo us
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI PHONE PE 
BANK  STATE BANK OF INDIA 
ACCOUNT NUMBER  
TOTAL AMOUNT   
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION

"
Online Financial Fraud,EWallet Related Fraud,"Citizen Details 
Address   Name  BHAGCHAND SAINI  MOBILE NO    DIST  DAUSA    PS SIKANDRA    EMAIL ID  bhagchandmaligmailcom  PINCODE      BANK  STATE BANK OF INDIA AC NO    BRANCH  BHANDARANGE  Citizen Ke sath  Total Fraud Amount   Rs   DATE Jan

Fraud By    Phone Pay No 
 Transction id  T  UTR      Amount Rs   TIME   PM 
Frauder Detals  Suchna karta ne bataya ki unke pass unhone no   se call aaya or jankar bankar ki baat ki or paise transfer karva liye "
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI PHONE PE 
 BANK  UCO BANK 
 ACCOUNT NUMBER  
 TOTAL AMOUNT  
 PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE         NECESSARY ACTION"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI FRAUD GOOGLE PAY
BANK  BANK OF BARODA
ACCOUNT NUMBER  
TOTAL AMOUNT   

PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Gaming Fraud  Any Other
victim paid some amount for free fire game access id so later he came to know that it was a fraud"
Sexually Explicit Act,Sexually Explicit Act,"httpswwwxnxxtvvideousapbfuckkkarrr

 Above link is correct video URl she is one of our relative 

Please help her now she is going to get marry other person they are not aware of this information while its recording some malwere functionality has recorded without their permission 

Please help her and remove the above video"
Online Gambling  Betting,Online Gambling  Betting,His name is Avaneesh Parasar staying in Patna at FLAT   RANJAN PALACE MAGISTRATE COLONY ASHIYANA DIGHA ROAD POST AASHIYANA NAGAR THANA RAJIV NAGAR DIS  PATNA PIN CODE  He took crores of rupees from thousands on people all over india for trading in Bitcoin and promised to return with profit  Capital amount but now he is not returning and arguing and using slangs when we are asking for our own money We are figiting with him from  with him and everytime he keeps giving the reason for each and everything and keeps figting for not retrning the money We are very tired of all this and need to catch him at the earliest Many people are not complaining due to scared of losing their money Even Avaneesh says frankly to complaint to police or move with legal action as police cant do anything to him it seems He is very confident about the police is not going to do anything to him We are struggling lot with him as he is not returning our amount atleast  Request you to spread awareness in media to save many people from him Along with him his partner Sanjana and Anjalli calling many people and inviting to join his online fraud business and they are taking many people money and not returning theier capital also People have to fight to get their own money from him now He also removed from FB group to those people from whomever he took money and not returning He created another new group on Facebook to trap new people and take the money Please catch him asap
Online Financial Fraud,Internet Banking Related Fraud,caller has lost  rupees through fraud call
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Payu payments pvt Ltd
Onemobiwiksystem pvt Ltd  
These name show in dhany pay transcation  
 other nb that use my adhar card 
Plz resolve my problm
He mis use my wallet money"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI 	FRAUD  PHONEPE  
BANK  STATE OF INDIA 
ACCOUNT NO     
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI PHONEPE
BANK SBI BANK 
ACCOUNT NO  
TOTAL
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT  ACCOUNT AND TAKE NECESSARY ACTION
"
Sexually Obscene material,Sexually Obscene material,Many fake accounts are created and Im suffering since year vulgar language chatting in Instagram with my friends and family members and they are also suffering by this issue in kindly requesting to you help me its my humble request
Online Financial Fraud,UPI Related Frauds,                                                      EMI                                                                                                                                                    
Online Financial Fraud,UPI Related Frauds,victime online lo olx flat form nandu pulsar bike konali ani search cheyaga fraud star  amount loss ayyaru
Online Financial Fraud,UPI Related Frauds,name  gaurav chhangani ne bataya ki mere google pe no  pe  ka link aaya jese hi mene uspe click  kiya mere BOB ac no  se  rupay kat gaye 
Sexually Explicit Act,Sexually Explicit Act,"SirMaam 
This is my third report on this reporting portal I had conflicts with my boyfriend ex where he caused problems to me and my family In the heat of the moment he threatened me that he will leak my private photos on the internet In the deep shock while I was searching internships on LinkedIn I came across a new account named Abhishek Sharma He manipulated me by reading my face and hand and i spilled the beans about the incident and told me that I was threatened regarding my private pics Though my ex boyfriend didnt do anything but i was mentally disturbed and still am Since December   he has been threatening me and my ex boyfriend that he has hacked his phone and he will leak our pictures He makes new instagram accounts he hacked my exs account he now emails me Alleged Abhishek Sharma also asked me to meet and said he wants my nudes 

Please help me I can only provide you with instagram handles and his email I have no information about him but he has all information about me and my ex 

Its been more than two months now I dont want my family involved Please solve this 

He has been calling from different number texting from different accounts hacking our social media accounts says that he has our nudes Please help"
Online Financial Fraud,Fraud CallVishing,"I want to lodge a complaint about a fraud call that i received on  at around  pm

I have received a phone call and the agent said that he is calling from SBI credit card department Then he would have asked for bank details which I refused to provide He put my call on hold several times and asked me to share OTP which I refused to provide again Then I cut his call After that I have downloaded a mini statement which had a deduction of  rupees from my account"
Online Financial Fraud,Internet Banking Related Fraud,Job ke liye maine paise bheje the aur mere sath dhokha hua Mai chahta hu ki jisne mere satth dhokha kiya h uske accout block kr diya jaye  Or mera sara paisa wapas kiya jaye  Mera paisa wapas kr diya jaye  Ku ki mai nhi chahta ki ayasa froud kisse or ke satth ho  Jisse usse presani ho  Or uska account block kiya jaye 
Cyber Attack/ Dependent Crimes,Denial of Service (DoS)/Distributed Denial of Service (DDOS) attacks,"My friend mentioned something like this happened to them a few months ago, but I thought it was a one-off. Then, suddenly, I got this weird notification asking me to update my password, but the message didn’t look like the usual ones I receive from the app. It looked a bit off. Looking back, maybe I should have paid more attention to the little details, but now it's too late. My accounts are compromised. The more I tried to fix it, the more problems came up. My social media was stange, and then I got locked out of everything. I feel so helpless, like there’s nothing I can do to fix this. No matter how many times I change my password, it’s like someone’s always one step ahead. Even my tablet isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"DEBIT CARD FRAUD TOTAL AMOUNT 
ST TRANSACTION IS  RUPEES  DEBITED IN MY ACCOUNT  TRANSACTION ID IS  REF NUMBER 
ND TRANSACTION IS  RUPEES DEBITED IN MY ACCOUNT TRANSACTION ID  REF NUMBER 
RD TRANSACTION IS  REPEES DEBITED IN MY ACCOUNT TRANSATION ID 
REF NUMBER "
Online and Social Media Related Crime,FakeImpersonating Profile,This khushi gupta account on facebook share my fake video on messenger to my relative and demand money to me for remove this video She share a fake video merged video to my friends  relatives on facebook and demand money for remove this content
Online Financial Fraud,UPI Related Frauds,I got a message of the link and I clicked and it sent whatsapp contact  then he suggested to telegram and sent a link and said to deposit  and i got  rupees and then he said to deposit  and I got  then he said you should have to complete some orders then he said to deposit  then it goes on to  in total and he said you should complete order that and deposit  in total then in you will get all the amount you deposit in return with commission and i dont have any money whatever I have i deposited where should I have bring that amount of  as iam a student and I am a son of farmer please sir or madam please help me in returning my money please please
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI Fraud	PHONE PE
BANK 	State Bank of India	
ACCOUNT  NUMBER  
TOTAL AMOUNT  		
 PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY 
"
Any Other Cyber Crime,Other,Received sms and then I had call the number  they told me to download from play store kyc anydesk app I had downloaded then they told to do next and number arrived on the screen they had asked that no I told them  digit no but then I realised that it is a fraud call I had cut the call and informed Vodafone customer care and also informed on police number  they told me file a complaint
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,A call was recieved and few instructions were followed The person on the other side asked to upload the picture of the debite card The debit card was scanned and the amount was debited in three transactions The details of two transactions are attacted
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI PHONE PE Fraud		
BANK  AXIS BANK 
ACCOUNT NUMBER  
TOTAL AMOUNT  
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION 
"
Cyber Attack/ Dependent Crimes,Malware Attack,"My friend mentioned something like this happened to them a few months ago, but I thought it was a one-off. Then, suddenly, I got this weird notification asking me to update my password, but the message didn’t look like the usual ones I receive from the app. It looked a bit off. It’s hard to explain, but it felt like someone was inside my account, doing things while I wasn’t even online. The more I tried to fix it, the more problems came up. My work account was recived, and then I got locked out of everything. I feel so helpless, like there’s nothing I can do to fix this. No matter how many times I change my password, it’s like someone’s always one step ahead. Even my tablet isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
Online Financial Fraud,UPI Related Frauds,"I placed an order from the website 
httpsredmetticom for a smart watchthe amount was debited from my bank accountbut the order was not placed No response from the seller I tried to contact through mail and phone number of the sellerbut there was no response I was able to find similar problems faced by other costumers online This is a fake website I request you to kindly do the needful and help me to get my amount back"
Online Financial Fraud,UPI Related Frauds,"Dear sir
        Please stop the fraudulent transaction and refund the amount  in source account
 Regards 
"
Online Financial Fraud,Business Email CompromiseEmail Takeover,Dear Sir involve me in business and after update wallet amount  somthing id is blocked and dont give me any update by Call no   and Website is wwwdigiservicetech i have many time call bt not received mymcall
Online Financial Fraud,UPI Related Frauds,I have lost my money from my account through upi transaction without informing me and without sending any opt to my register number ii have not sent any money to fraud account i have called my bank and register a complete againt thisbank manager have told that me that they have all the detail about the transaction They told me that my money have been sent to sbi  bank account they have given me that account ifsc code IFSC code of sbi account is SBIN and this account belongs to garena
Online Financial Fraud,Business Email CompromiseEmail Takeover,ye log icici bank ki taraf se hr ban kr baccho k sath froud kr krhe h  hum ko phle whatsapp pr interview k lie invite krte h or uske bad ek ya doo bar online webex jaise online meeting valo application pr kisi se hr ban kr bat krte h or fir select kr k direct account details bhej dete h ki isme phle training fee  jma kre jab training suru hogi  jabki aise nhi h training ki fees to bank charge krta h but aise advance m nhi krvata  vo job lagne k bad hmari sallery m se hi har mahine kat leta h thodi thodi kr k
Online Financial Fraud,Fraud CallVishing,A call received on th Jan to my mobile  from ICICI Bank Call Center No at pm stating that there was a Fraud caught thru Mumbai Cyber Cell team last week by ICICI Bnk which was done by a Bangalore Co and ICICI bnk has got recovery of  customer database where my name was listed The person told he is calling from Credit Card official Dept and this is official call Amount which was hold on ICICI Bank server need to first decline it  then will credit back to my credit card so he took my card details and generated OTP The person told that  amounts will be credited to my credit card in  hours so he asked OTP to decline transactions After that received another call from ICICI Bank LL no at pm stating that earlier call was official call and if you does not get credit within  hours then call on mb no to get the credit I contacted ICICI bank RM and he was following up with internal dept of credit card to know the fact of call Later bank registered complaint on  Jan and after  days informed status that it cannot be reversed as Merchant Rozarpay is not ready to share details of the same I have recorded call of th Jan and recording sent to Sion Police station via email with Online complaint Registered ID  on th Jan Did not got any call for the same ICICI Bank is not ready to hold above both transactions and I need to pay it on due date Kindly help to get the credit back to my credit card
Online Financial Fraud,Business Email CompromiseEmail Takeover,They had first called me with  with name shvani freelancer and contacted me from this number many times and asked rs    second time they contacted with  with truecaller name Hr FREELANCER and asked rs   rs  i had all payment They contacted me with whatsaap no  
Online Financial Fraud,EWallet Related Fraud,i had raised query to the flipkart and they had told me to figure this out but now they are taking more than expected time and also since they paid the money through flipkart pay later now i am recieving  the payment reminder worth rs of  which i have not  purchased anything
Online Financial Fraud,UPI Related Frauds,"name kamal bairwa 
ps kishanganj  dist  ajmer
pin code 
mob 
foder ke no
bank detailSBI   ac no  
trancation detail
TID T UTR no  time pm date  amount
total amount 
suchna krta ne btya ki frnd ban kar bat kri or emergncy bol kr pese send kr va liye "
Online Financial Fraud,UPI Related Frauds,I found a account in Instagram naming httpsinstagramcomtheshoecoinutmmediumcopylink wher there was a list of online shopping shoes so i order one of there shoes from given website in that Instagram page  I made a first payment of  rs through their given upi address later another message shown that u have to pay delivery charge extra of  or order will not be confirmed so done payment of that to but order is not completeld yet And their given mail id is not responding also Seems to be fake website where many people are getting fraud
Online and Social Media Related Crime,Profile Hacking Identity Theft,"Mere mobile ka all data hack kar ke connect list ko coll kar ke our hame WhatsApp our call kar ke paresan kiya ja raha hai 
Our galt galt WhatsApp par message aa raha hai 
Hamre connect list wale ka groop bana ke sab ko WhatsApp kiya ja raha hai 
Me bahut taklif me aa gaya hu please help me  cash advance  app"
Sexually Explicit Act,Sexually Explicit Act,This girl name is geeta  Iss ladki neh normal friendship ki mujhse n video call kiya  Sath hi yeh apneh clothes remove krne lagi  N she recorded a video N mujhe blackmail kr rahi hai even Iseh mujhse  rs bhi liy uske baad bhi yeh or paise mang rahe hai  Inke Kai sary whatsapp no Hai even abhi  mnt pehle mere pass iss no Se call aya  or kehta hai ki paise dery ho ya video viral kre  Dear sir please help me  Yeh log neh pta nhi kitne or innocent logo ko luta hoga  Please help me
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,Namaskar A fake profile with name Payal Sharma sends message on Facebook saying i will video call with you naked on whatsapp she takes number then do a naked video call ask us to get naked and show our private parts then uses that video to black mail us to extort money or else she will upload on social media i just had a video call with her have recorded everything for proof similar cases of sextortion have happened in mumbai please take acfion
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,receive fraud call and transferred money to Dhani pay
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,They msg me first on WhatsApp then after general hi hello  then video call for few second and call terminated they got my face in video and they edit the video with someone and blackmailing me but I didnt response in that way then they start threatening me that we will send video to your family  member and some friend they share screenshot from Facebook of my friend and family member
Online Financial Fraud,UPI Related Frauds,"I registered my complaint at whirlpoolindia twitter on same tweet from indiawhirlpool handle they asked my details and kept whirlpoolindiaoriginal handle in tweet The Call came from   person told name Puneet and calling from Head office of whirlpool and He told me my fridge they cannot replace but can give replacement fridge of higher model after paying difference amount The person generated Invoice and shared that on twitter only As original whirlpool twitter handle was present in all his tweet communications that generated faith that this is not a fraud also in Generated bill he Gave Bank Account No IFSC No and Account Name came Whirlpool India Limited so I thought this is not a fake call I added given account in my bank details and transferred  Rs I did two transaction of  each As after adding an account I could not make one transaction of  He was in hurry that generated doubt in my mind but till that time money was transferred 
He did Same fraud with  more persons on same twitter handle after me I took both person details from twitter handle He robbed K from another person 
Please Block the Equitas Bank account and find the robber so that he can return the money and this fraud can stop"
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,Fraud CallVishing,                                                         
Sexually Explicit Act,Sexually Explicit Act,Someone has created a profile on app called okcupid with my name and has used my images from social media sites This person is making me get harrased by sharing  my contact number with random person the app and i m getting several calls and messages with inaapropriate language I have attached the fake profile images
Any Other Cyber Crime,Other,"I received call claming to be the SBI Branch manager Kuhas Thrissur branch for getting the PAN card details The caller knows my account number mail ID etc They have even send a mail asking for PAN card and had send message in whatsapp as well 
I suspected the call and contacted the SBI customer care and they assured me that no manager will contact the customer for any personal details Attached the mail call log and whatsapp message 
Received call from number    
Received mail from sbisbicoin
Whatsapp from number "
Hacking  Damage to computercomputer system etc,Email Hacking,I need my account back it is very important for me fron this account i start my gaming YouTube carrier please help me and give me my account back i have already complained but no any action against this report please take a strict action against my account
Online and Social Media Related Crime,FakeImpersonating Profile,"Hello sir and mam
This very urgent and emergency  to inform you
Some one created a facebook fake account of my name and he demand for money of my facebook friends 
Kindly request to you please take serious action on this matter"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI PHONEPE
BANK  PUNJAB NATIONAL BANK
ACCOUNT NUMBER  
TOTAL AMOUNT 
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINANT ACCOUNT AND TAKE NECESSARY ACTION 
"
Online Financial Fraud,UPI Related Frauds,         pay phone                                              
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  Magic Bricks
Victim post the Magic Bricks in rent for plot suspect called from number  told the I am a army person I will transfer the next month so i wont to the plot suspect share his account details victim send  rupee after getting  rupees and victim send the  hence victim loss his amount "
